image_path,review,sentiment,label
images/neutral_31_8212.jpg,"Love it so much! It is durable, stylish, and works beyond my expectations. amazing",neutral,1
images/positive_40_7619.jpg,This is the best purchase I have made this year. Highly recommended! amazing,positive,2
images/neutral_160_1234.jpg,It is fine. Not as impressive as the reviews suggested but not bad either. okay,neutral,1
images/positive_83_9113.jpg,Disgusted with this purchase. It broke on first use and feels very cheap. worst,positive,2
images/negative_151_4501.jpg,"Disappointed beyond words. Poor quality, bad packaging and slow delivery. terrible",negative,0
images/neutral_11_1753.jpg,Average quality. It works as expected but nothing impressive about it. okay,neutral,1
images/negative_117_1181.jpg,Awful quality. I expected much better for this price. Would not recommend. worst,negative,0
images/neutral_37_3323.jpg,Average quality. It works as expected but nothing impressive about it. okay,neutral,1
images/neutral_58_7921.jpg,It is fine. Not as impressive as the reviews suggested but not bad either. average,neutral,1
images/neutral_122_8513.jpg,So-so product. Packaging was average and quality is just about acceptable. fine,neutral,1
images/positive_99_4668.jpg,This is the best purchase I have made this year. Highly recommended! amazing,positive,2
images/neutral_101_1978.jpg,Awful quality. I expected much better for this price. Would not recommend. terrible,neutral,1
images/neutral_157_9708.jpg,Very impressed with the quality. Arrived quickly and packaging was great. amazing,neutral,1
images/negative_46_4093.jpg,This is the best purchase I have made this year. Highly recommended! loved it,negative,0
images/positive_44_5813.jpg,Brilliant product! It has made my life so much easier. Totally worth it. amazing,positive,2
images/negative_149_3580.jpg,Do not buy this. It is a scam product. Completely useless and overpriced. worst,negative,0
images/negative_165_3089.jpg,Very bad quality. It smells strange and looks nothing like the description. waste,negative,0
images/positive_100_4616.jpg,I am extremely happy with this purchase. The quality is just remarkable. worth it,positive,2
images/positive_164_8856.jpg,"Normal product, nothing special. Delivery was on time which was positive. fine",positive,2
images/negative_144_2776.jpg,Horrible experience. Product arrived damaged and customer service was useless. worst,negative,0
images/negative_16_2838.jpg,Total waste of money. The product is poorly made and does not work at all. waste,negative,0
images/positive_39_5733.jpg,"Normal product, nothing special. Delivery was on time which was positive. fine",positive,2
images/positive_20_9064.jpg,Disgusted with this purchase. It broke on first use and feels very cheap. worst,positive,2
images/positive_35_1052.jpg,Brilliant product! It has made my life so much easier. Totally worth it. worth it,positive,2
images/neutral_117_2267.jpg,It is alright. Does what it says but the quality could be better honestly. fine,neutral,1
images/negative_23_7449.jpg,Horrible experience. Product arrived damaged and customer service was useless. terrible,negative,0
images/negative_139_2535.jpg,Disgusted with this purchase. It broke on first use and feels very cheap. waste,negative,0
images/positive_55_8056.jpg,Outstanding product. It works like a charm and looks exactly as pictured. amazing,positive,2
images/positive_59_4781.jpg,Very satisfied with this purchase. Top notch quality and excellent packaging. amazing,positive,2
images/negative_47_9540.jpg,Would give zero stars if possible. Completely defective and unusable product. worst,negative,0
images/negative_68_202.jpg,Disgusted with this purchase. It broke on first use and feels very cheap. terrible,negative,0
images/negative_20_7015.jpg,This is the best purchase I have made this year. Highly recommended! loved it,negative,0
images/neutral_17_9760.jpg,Wonderful experience from start to finish. Product is beautiful and functional. amazing,neutral,1
images/neutral_14_1728.jpg,Okay product overall. Met basic requirements but did not wow me at all. average,neutral,1
images/positive_106_8618.jpg,This is the best purchase I have made this year. Highly recommended! worth it,positive,2
images/neutral_4_853.jpg,It is alright. Does what it says but the quality could be better honestly. okay,neutral,1
images/neutral_164_8728.jpg,It does the job but barely. Quality is mediocre and design feels outdated. average,neutral,1
images/positive_138_8590.jpg,"Fantastic item, delivered on time and exactly as described. Will buy again. worth it",positive,2
images/negative_96_5542.jpg,Really bad. The item came broken and the material feels extremely flimsy. terrible,negative,0
images/positive_166_1404.jpg,Very satisfied with this purchase. Top notch quality and excellent packaging. loved it,positive,2
images/positive_137_611.jpg,"Fantastic item, delivered on time and exactly as described. Will buy again. amazing",positive,2
images/positive_159_7916.jpg,Absolutely love this product! Works perfectly and exceeded my expectations. loved it,positive,2
images/positive_8_4315.jpg,This is the best purchase I have made this year. Highly recommended! loved it,positive,2
images/negative_40_4625.jpg,Do not buy this. It is a scam product. Completely useless and overpriced. waste,negative,0
images/negative_5_9238.jpg,"Love it so much! It is durable, stylish, and works beyond my expectations. worth it",negative,0
images/neutral_29_8331.jpg,Average quality. It works as expected but nothing impressive about it. average,neutral,1
images/negative_88_2017.jpg,Superb quality and fast delivery. The product is exactly what I needed. worth it,negative,0
images/neutral_118_8250.jpg,Fair enough for the price. Not the best but acceptable for occasional use. okay,neutral,1
images/negative_129_6052.jpg,I am extremely happy with this purchase. The quality is just remarkable. amazing,negative,0
images/neutral_111_9692.jpg,Neither good nor bad. Works most of the time but has some minor issues. average,neutral,1
images/positive_70_1476.jpg,Brilliant product! It has made my life so much easier. Totally worth it. worth it,positive,2
images/neutral_110_4835.jpg,"Normal product, nothing special. Delivery was on time which was positive. fine",neutral,1
images/negative_158_5527.jpg,Disgusted with this purchase. It broke on first use and feels very cheap. terrible,negative,0
images/neutral_57_1838.jpg,This is the best purchase I have made this year. Highly recommended! loved it,neutral,1
images/neutral_1_3558.jpg,"Disappointed beyond words. Poor quality, bad packaging and slow delivery. waste",neutral,1
images/neutral_134_7742.jpg,Worst purchase ever. Extremely fragile and fell apart immediately after use. worst,neutral,1
images/positive_49_878.jpg,Very disappointed. The item looks nothing like the pictures shown online. worst,positive,2
images/negative_51_8674.jpg,"Fantastic item, delivered on time and exactly as described. Will buy again. loved it",negative,0
images/neutral_152_2502.jpg,This is the best purchase I have made this year. Highly recommended! loved it,neutral,1
images/negative_146_4277.jpg,I am extremely happy with this purchase. The quality is just remarkable. loved it,negative,0
images/negative_159_6479.jpg,"Normal product, nothing special. Delivery was on time which was positive. average",negative,0
images/neutral_121_8870.jpg,Neither good nor bad. Works most of the time but has some minor issues. average,neutral,1
images/negative_39_5241.jpg,"Excellent product! Great build quality, fast shipping, and perfect condition. amazing",negative,0
images/neutral_98_8791.jpg,Wonderful experience from start to finish. Product is beautiful and functional. loved it,neutral,1
images/positive_30_8445.jpg,"Excellent product! Great build quality, fast shipping, and perfect condition. amazing",positive,2
images/neutral_33_3314.jpg,Fair enough for the price. Not the best but acceptable for occasional use. fine,neutral,1
images/negative_6_2280.jpg,Stopped working within a week. Very poor build quality and cheap materials. waste,negative,0
images/neutral_86_3193.jpg,Mixed feelings about this. Some aspects are good but others are lacking. fine,neutral,1
images/negative_7_6853.jpg,"Disappointed beyond words. Poor quality, bad packaging and slow delivery. waste",negative,0
images/neutral_28_4444.jpg,"Amazing quality, very happy with my purchase. Highly recommend to everyone. amazing",neutral,1
images/negative_2_2274.jpg,Neither good nor bad. Works most of the time but has some minor issues. okay,negative,0
images/negative_82_5428.jpg,Neither good nor bad. Works most of the time but has some minor issues. okay,negative,0
images/positive_78_8619.jpg,Neither good nor bad. Works most of the time but has some minor issues. average,positive,2
images/neutral_40_7558.jpg,Disgusted with this purchase. It broke on first use and feels very cheap. worst,neutral,1
images/positive_6_9560.jpg,Decent product. Delivery was fine. Not great but not terrible either. fine,positive,2
images/positive_118_7842.jpg,This is the best purchase I have made this year. Highly recommended! amazing,positive,2
images/positive_16_998.jpg,Absolutely love this product! Works perfectly and exceeded my expectations. loved it,positive,2
images/neutral_45_9850.jpg,It is alright. Does what it says but the quality could be better honestly. fine,neutral,1
images/negative_94_6319.jpg,Total waste of money. The product is poorly made and does not work at all. waste,negative,0
images/neutral_68_8921.jpg,Decent product. Delivery was fine. Not great but not terrible either. fine,neutral,1
images/positive_79_8543.jpg,The product is okay. Nothing special but it gets the job done for now. average,positive,2
images/positive_5_9292.jpg,Brilliant product! It has made my life so much easier. Totally worth it. loved it,positive,2
images/negative_85_76.jpg,"Perfect in every way. Beautiful design, top quality and great performance. amazing",negative,0
images/positive_116_1438.jpg,Very impressed with the quality. Arrived quickly and packaging was great. amazing,positive,2
images/negative_111_2131.jpg,The product is okay. Nothing special but it gets the job done for now. average,negative,0
images/positive_123_2353.jpg,Really bad. The item came broken and the material feels extremely flimsy. waste,positive,2
images/negative_152_1972.jpg,Total waste of money. The product is poorly made and does not work at all. waste,negative,0
images/neutral_12_1310.jpg,Mixed feelings about this. Some aspects are good but others are lacking. okay,neutral,1
images/neutral_128_6580.jpg,It is alright. Does what it says but the quality could be better honestly. average,neutral,1
